post_id,title,category,score,num_comments,author,collected_at
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 16:37:16.453406
47729925,Show HN: I rebuilt a 2000s browser strategy game on Cloudflare's edge,sports,7,1,parzivalt,2026-04-14 16:37:19.067387
47737387,Show HN: Bullseye2D – A Dart library for cross-platform 2D games,sports,4,1,joemanaco,2026-04-14 16:37:17.116580
47762864,Backblaze has stopped backing up your data,technology,645,387,rrreese,2026-04-14 16:36:17.055332
47733217,Exploiting the most prominent AI agent benchmarks,technology,581,140,anon84,2026-04-14 16:36:21.512659
47750872,Servo is now available on crates.io,technology,462,147,ffin,2026-04-14 16:36:20.559406
47753689,Building a CLI for all of Cloudflare,technology,321,105,soheilpro,2026-04-14 16:36:19.078918
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,269,110,dvaughan,2026-04-14 16:36:21.349360
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,218,127,iamnothere,2026-04-14 16:36:22.076260
47728970,"Write less code, be more responsible",technology,147,90,orhunp_,2026-04-14 16:36:18.764938
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,138,33,galaxylogic,2026-04-14 16:36:19.924194
47729046,Air Powered Segment Display? [video],technology,124,11,profdreamer,2026-04-14 16:36:19.532406
47755209,B-trees and database indexes (2024),technology,112,41,tosh,2026-04-14 16:36:20.739973
47708457,Rust Threads on the GPU,technology,102,32,paulhoule,2026-04-14 16:36:19.193974
47759292,The AI revolution in math has arrived,technology,97,50,sonabinu,2026-04-14 16:36:20.613140
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,87,41,tie-in,2026-04-14 16:36:17.812281
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,87,26,mfilion,2026-04-14 16:36:20.965679
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,87,43,bookofjoe,2026-04-14 16:36:21.075577
